排名,赛区排名,Team ID,团队名,赛区,最高得分,首次得分时间,最高得分时间,成员
1,1,43762,鸽鸽鸽,杭厦赛区,2.7301,5.16.2020 15:47,5.16.2020 16:43,"reku1997 (136725), hw89504302 (137785), heyshb (137060)"
2,1,43897,杰尼龟,江山赛区,2.7551,,5.16.2020 15:30,"bitmap (5683), xionglan22 (140523), maxPG (4534)"
3,2,43763,小白兔奶糖,杭厦赛区,2.8213,5.16.2020 15:47,5.16.2020 16:47,"Martin20150405 (34495), lccurious (138744), fx-ren (39988)"
4,1,43801,扫黑除恶小分队,成渝赛区,2.8427,5.16.2020 14:55,5.16.2020 16:34,"zl_Cheng (3336), hw68958279 (139595), yifanvnir (6361)"
5,1,43867,小金鱼拉着一小摩托的小火车,上合赛区,3.0383,,5.16.2020 16:48,"hw83632418 (6441), hw26167070 (141654), hw10994536 (141631)"
6,2,43800,IOT_TEAM,成渝赛区,3.2013,5.16.2020 15:30,5.16.2020 16:04,"ryeroo (142314), Chadriy_Cai (141293), uestcer (136913)"
7,2,43906,得得得得得得得得得得得得,江山赛区,3.5524,,5.16.2020 16:21,"hw79751889 (95623), yunqihuang (106878), yulin-liu (100976)"
8,3,43764,#507,杭厦赛区,3.6002,5.16.2020 15:31,5.16.2020 16:26,"xavier_cai (137071), SleepZzz (137078), darkflamehxy (137075)"
9,3,43806,少年队（开始合并/挂机，从我做起）,成渝赛区,3.6907,,5.16.2020 16:04,"stepbystep88 (63236), Yang_Goodman (38340), lok666_ (149110)"
10,1,43928,孤芳自赏,西北赛区,3.7022,5.16.2020 14:46,5.16.2020 16:34,"chier (4145), yangzhi__ (4151), XDUls (4147)"
11,3,43899,2147483647,江山赛区,3.715,,5.16.2020 16:04,"hw74910943 (137065), ni_gay_lu_da_yo (12183), karstagger (137041)"
12,2,43868,守望&静望&观望,上合赛区,3.7189,5.16.2020 16:08,5.16.2020 16:35,"IooooooI (94684), xiaolegao (90245), RubyHong (103741)"
13,3,43872,好想去冰岛看极光呀,上合赛区,3.8267,,5.16.2020 16:48,"keyanjie (150869), chaoting (140992), wanghaijie (120850)"
14,4,43805,租的服务器能报账吗,成渝赛区,4.0129,,5.16.2020 16:34,"liangchen (4188), IamWQM (4191), zararo (101349)"
15,4,43873,暴力出奇迹,上合赛区,4.1976,5.16.2020 15:47,5.16.2020 16:35,"sunsiyu (138798), Tommyr7 (139176), fstqwq (139180)"
16,5,43871,只有魔法才能打败魔法,上合赛区,4.4043,5.16.2020 15:47,5.16.2020 16:19,"logicsama (13843), hw65668397 (62622)"
